Brand,Ratings,Speaker,Size,HD,HDMI,USB,Cost,buy_from,img_url
lg,4.2,20,32,HD,2,1,17390,https://www.flipkart.com/lg-80-cm-32-inch-hd-ready-led-tv/p/itmfc9b6etptzgbe?pid=TVSFC9B6USK4QAM3&lid=LSTTVSFC9B6USK4QAM3T0OURA&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_7_149&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=7ac77af9-7172-4f16-b1a7-ce164eb8d5a7.TVSFC9B6USK4QAM3.SEARCH&ppt=None&ppn=None&ssid=nkegbcv2wg0000001622280540454&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/k2xmd8w0/television/a/m/3/lg-32lk526bpta-original-imafm6435gbpcqfm.jpeg?q=70
tcl,4.1,30,50,Ultra HD 4K,3,2,38999,https://www.flipkart.com/tcl-p715-126-cm-50-inch-ultra-hd-4k-led-smart-android-tv-full-screen-handsfree-voice-control/p/itm81b280df68212?pid=TVSFU64FNXVUFHZH&lid=LSTTVSFU64FNXVUFHZHJOONGG&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_7_152&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=7ac77af9-7172-4f16-b1a7-ce164eb8d5a7.TVSFU64FNXVUFHZH.SEARCH&ppt=None&ppn=None&ssid=nkegbcv2wg0000001622280540454&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kn97te80/television/0/6/p/55p715-55p715-tcl-original-imagfz6mhzzqevmc.jpeg?q=70
lg,4.3,20,43,Full HD,2,1,25999,https://www.flipkart.com/lg-108-cm-43-inch-full-hd-led-tv/p/itmf7yrau4fhw63c?pid=TVSF7YRATDWXCNFQ&lid=LSTTVSF7YRATDWXCNFQQTWIMF&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_7_153&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=7ac77af9-7172-4f16-b1a7-ce164eb8d5a7.TVSF7YRATDWXCNFQ.SEARCH&ppt=None&ppn=None&ssid=nkegbcv2wg0000001622280540454&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/k2xmd8w0/television/n/f/q/lg-43lk5260pta-original-imafm643kfak8dvy.jpeg?q=70
sony,4.4,20,43,Full HD,2,2,41799,https://www.flipkart.com/sony-108-cm-43-inch-full-hd-led-smart-tv/p/itme3ea5f1f9485c?pid=TVSFPYDHMHVPGAUH&lid=LSTTVSFPYDHMHVPGAUHDBZIZJ&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_7_156&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=7ac77af9-7172-4f16-b1a7-ce164eb8d5a7.TVSFPYDHMHVPGAUH.SEARCH&ppt=None&ppn=None&ssid=nkegbcv2wg0000001622280540454&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kawtvgw0/television/a/u/h/sony-kdl-43w6600-original-imafsd85zfnvke6t.jpeg?q=70
lg,4.4,35,32,HD,3,1,25490,https://www.flipkart.com/lg-80-cm-32-inch-hd-ready-led-smart-tv/p/itmf6hfjezwgbuuf?pid=TVSF6HFJNE73VSB5&lid=LSTTVSF6HFJNE73VSB5ZOORQQ&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_7_157&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=7ac77af9-7172-4f16-b1a7-ce164eb8d5a7.TVSF6HFJNE73VSB5.SEARCH&ppt=None&ppn=None&ssid=nkegbcv2wg0000001622280540454&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/jlsc58w0/television/s/b/5/lg-32lk628bptf-original-imaf8u8qaefybtzj.jpeg?q=70
sony,4.6,10,43,Full HD,4,3,48390,https://www.flipkart.com/sony-w800g-series-108-cm-43-inch-full-hd-led-smart-android-tv/p/itmc982f61cffecd?pid=TVSFJY52YCK9EJMB&lid=LSTTVSFJY52YCK9EJMBA3EYKI&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_7_158&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=7ac77af9-7172-4f16-b1a7-ce164eb8d5a7.TVSFJY52YCK9EJMB.SEARCH&ppt=None&ppn=None&ssid=nkegbcv2wg0000001622280540454&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/k12go7k0/television/j/m/b/sony-kdl-43w800g-original-imafkq9zfjax3gwu.jpeg?q=70
tcl,4.2,16,32,HD,2,1,16099,https://www.flipkart.com/tcl-s6500-series-79-97-cm-32-inch-hd-ready-led-smart-android-tv/p/itmfchcnh2hcnhzg?pid=TVSFCKU8A3DWGVZF&lid=LSTTVSFCKU8A3DWGVZFBZPZSI&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_7_159&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=7ac77af9-7172-4f16-b1a7-ce164eb8d5a7.TVSFCKU8A3DWGVZF.SEARCH&ppt=None&ppn=None&ssid=nkegbcv2wg0000001622280540454&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/jvv9zm80/television/p/z/6/tcl-40s6500-40s6500-original-imafghwjggfyjgxd.jpeg?q=70
samsung,4.8,20,55,Ultra HD 4K,3,2,89990,https://www.flipkart.com/samsung-139-cm-55-inch-qled-ultra-hd-4k-smart-tv/p/itm322b0d0e2da2c?pid=TVSFT34KHGHKHZCG&lid=LSTTVSFT34KHGHKHZCGG1TMUT&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_7_160&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=7ac77af9-7172-4f16-b1a7-ce164eb8d5a7.TVSFT34KHGHKHZCG.SEARCH&ppt=None&ppn=None&ssid=nkegbcv2wg0000001622280540454&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kfbfr0w0/television/z/c/g/samsung-qa55q60takxxl-original-imafvs8y58upfwrp.jpeg?q=70
sansui,4.5,20,55,Ultra HD 4K,3,2,42999,https://www.flipkart.com/sansui-140-cm-55-inch-ultra-hd-4k-led-smart-android-tv/p/itm041b3214f2f83?pid=TVSFWFSHFTA9DQZG&lid=LSTTVSFWFSHFTA9DQZGOU2UEC&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_7_161&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=7ac77af9-7172-4f16-b1a7-ce164eb8d5a7.TVSFWFSHFTA9DQZG.SEARCH&ppt=None&ppn=None&ssid=nkegbcv2wg0000001622280540454&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/khmbafk0/television/q/z/g/sansui-jsw55asuhd-original-imafxkn5ghtb3h65.jpeg?q=70
samsung,4.3,20,65,Ultra HD 4K,3,1,89999,https://www.flipkart.com/samsung-crystal-4k-pro-163-cm-65-inch-ultra-hd-4k-led-smart-tv-voice-search/p/itm155be26912b27?pid=TVSG2CG7BYMY4NRM&lid=LSTTVSG2CG7BYMY4NRMC7044M&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_7_162&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=7ac77af9-7172-4f16-b1a7-ce164eb8d5a7.TVSG2CG7BYMY4NRM.SEARCH&ppt=None&ppn=None&ssid=nkegbcv2wg0000001622280540454&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/ko1smfk0/television/1/r/d/ua43aue60aklxl-ua43aue60aklxl-samsung-original-imag2hg7b55y8xhs.jpeg?q=70
samsung,4.3,20,50,Ultra HD 4K,3,1,51999,https://www.flipkart.com/samsung-crystal-4k-pro-125-cm-50-inch-ultra-hd-4k-led-smart-tv-voice-search/p/itm0386ba751264e?pid=TVSG2CG76UDYBE7X&lid=LSTTVSG2CG76UDYBE7X9KFOHQ&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_7_163&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=7ac77af9-7172-4f16-b1a7-ce164eb8d5a7.TVSG2CG76UDYBE7X.SEARCH&ppt=None&ppn=None&ssid=nkegbcv2wg0000001622280540454&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/ko1smfk0/television/1/r/d/ua43aue60aklxl-ua43aue60aklxl-samsung-original-imag2hg7b55y8xhs.jpeg?q=70
sony,4.5,20,65,Ultra HD 4K,4,2,107999,https://www.flipkart.com/sony-163-9-cm-65-inch-ultra-hd-4k-led-smart-android-tv/p/itm1a3e667b3c131?pid=TVSFPYDHGZUK2YNF&lid=LSTTVSFPYDHGZUK2YNF1PRCFS&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_7_164&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=7ac77af9-7172-4f16-b1a7-ce164eb8d5a7.TVSFPYDHGZUK2YNF.SEARCH&ppt=None&ppn=None&ssid=nkegbcv2wg0000001622280540454&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kfyasnk0/television/y/n/f/sony-kd-65x8000h-original-imafwajurvqdhfp5.jpeg?q=70
