Brand,Ratings,Speaker,Size,HD,HDMI,USB,Cost,buy_from,img_url
Vu,4.5,30,55,Ultra HD 4K,3,2,39999,https://www.flipkart.com/vu-premium-139-cm-55-inch-ultra-hd-4k-led-smart-android-tv/p/itm15edd0f5f73f4?pid=TVSFPENZUMTBQAHG&lid=LSTTVSFPENZUMTBQAHGKKIHQX&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&spotlightTagId=TrendingId_ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSFPENZUMTBQAHG.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/k7dnonk0/television/x/z/a/vu-50pm-50pm-original-imafpmrtnctj6qgz.jpeg?q=70
iFFALCON,4.3,24,43,Ultra HD 4K,2,1,24999,https://www.flipkart.com/iffalcon-tcl-108-cm-43-inch-ultra-hd-4k-led-smart-android-tv/p/itm3f760494090b0?pid=TVSFUYG8ZGXEG27H&lid=LSTTVSFUYG8ZGXEG27HLSFFE9&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSFUYG8ZGXEG27H.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kgmla4w0/television/q/k/g/iffalcon-55k61-55k61-original-imafwtehtv9gn4qk.jpeg?q=70
Vu,4.5,30,50,Ultra HD 4K,3,2,36999,https://www.flipkart.com/vu-premium-126-cm-50-inch-ultra-hd-4k-led-smart-android-tv/p/itm4f13ca85bb598?pid=TVSFPENZ3SZHXXZA&lid=LSTTVSFPENZ3SZHXXZAX81MEA&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSFPENZ3SZHXXZA.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/k7dnonk0/television/x/z/a/vu-50pm-50pm-original-imafpmrtnctj6qgz.jpeg?q=70
iFFALCON,4.4,30,43,Ultra HD 4K,2,1,26999,https://www.flipkart.com/iffalcon-tcl-107-9-cm-43-inch-ultra-hd-4k-led-smart-android-tv-handsfree-voice-search/p/itm9481af0e5b592?pid=TVSFT34KTMT9JFSG&lid=LSTTVSFT34KTMT9JFSGYOOKL2&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSFT34KTMT9JFSG.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kn97te80/television/p/r/s/55k71-55k71-iffalcon-original-imagfyzkdreg6swh.jpeg?q=70
Mi,4.4,20,32,HD,3,2,14499,https://www.flipkart.com/mi-4a-pro-80-cm-32-inch-hd-ready-led-smart-android-tv-google/p/itmfdwh5jyqhmvzg?pid=TVSG22C4DXQRVSTT&lid=LSTTVSG22C4DXQRVSTTJZD2M0&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=a02d2d5e-9060-40c1-a28c-16bb08738b8e.TVSG22C4DXQRVSTT.SEARCH&ppt=None&ppn=None&ssid=cj4oi16twg0000001622280448244&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kc54ivk0/television/r/q/g/mi-l43m4-4ain-original-imaftc5fy6bfmhyb.jpeg?q=70
Mi,4.4,20,43,Ultra HD 4K,3,2,27999,https://www.flipkart.com/mi-4x-108-cm-43-inch-ultra-hd-4k-led-smart-android-tv/p/itmab87244d2fead?pid=TVSGFH5PQRTFRTVG&lid=LSTTVSGFH5PQRTFRTVGITUOXL&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=a02d2d5e-9060-40c1-a28c-16bb08738b8e.TVSGFH5PQRTFRTVG.SEARCH&ppt=None&ppn=None&ssid=cj4oi16twg0000001622280448244&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kc54ivk0/television/r/q/g/mi-l43m4-4ain-original-imaftc5fy6bfmhyb.jpeg?q=70
Mi,4.4,20,50,Ultra HD 4K,3,2,33999,https://www.flipkart.com/mi-4x-125-7-cm-50-inch-ultra-hd-4k-led-smart-android-tv/p/itm371a670b12dee?pid=TVSFSFUMDQAVJYCU&lid=LSTTVSFSFUMDQAVJYCUUKBYE3&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=a02d2d5e-9060-40c1-a28c-16bb08738b8e.TVSFSFUMDQAVJYCU.SEARCH&ppt=None&ppn=None&ssid=cj4oi16twg0000001622280448244&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kc54ivk0/television/y/c/u/mi-l50m5-5ain-original-imaftc5fzuhfdvzm.jpeg?q=70
Mi,4.1,20,32,HD,3,2,15499,https://www.flipkart.com/mi-4a-horizon-80-cm-32-inch-hd-ready-led-smart-android-tv/p/itm9dcfc24f18feb?pid=TVSG22C46SKHXTH8&lid=LSTTVSG22C46SKHXTH8LDWFQD&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&spotlightTagId=TrendingId_ckf%2Fczl&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=a02d2d5e-9060-40c1-a28c-16bb08738b8e.TVSG22C46SKHXTH8.SEARCH&ppt=None&ppn=None&ssid=cj4oi16twg0000001622280448244&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kf5pzm80/television/f/h/e/mi-l32m6-ei-original-imafvzefsh27shv6.jpeg?q=70
Mi,4.4,20,40,Full HD,3,2,21999,https://www.flipkart.com/mi-4a-100-cm-40-inch-full-hd-led-smart-android-tv-google/p/itmaaa9224388773?pid=TVSFJRFFJVY3HG5R&lid=LSTTVSFJRFFJVY3HG5RFBHWCP&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=a02d2d5e-9060-40c1-a28c-16bb08738b8e.TVSFJRFFJVY3HG5R.SEARCH&ppt=None&ppn=None&ssid=cj4oi16twg0000001622280448244&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kc54ivk0/television/g/5/r/mi-l40m5-5ain-original-imaftc5frwsvkmvz.jpeg?q=70
realme,4.3,24,43,Full HD,3,2,23999,https://www.flipkart.com/realme-108-cm-43-inch-full-hd-led-smart-android-tv/p/itme64cc2d6c5919?pid=TVSFRTJQ4ZBT7RGM&lid=LSTTVSFRTJQ4ZBT7RGMTFCZSA&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=a02d2d5e-9060-40c1-a28c-16bb08738b8e.TVSFRTJQ4ZBT7RGM.SEARCH&ppt=None&ppn=None&ssid=cj4oi16twg0000001622280448244&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kae95e80/television/r/g/m/realme-tv-43-original-imafrz78gbgx3zz5.jpeg?q=70
